a,e,i,f,fuel
42233638.84301899,0.004061976282805816,0.000325992860520298,4.341873764955908,315.2
42277599.3289071,0.0037261547042544353,0.0003719105534238657,4.593598648660436,312.5100650310516
42319976.28118602,0.003716800195060244,0.00016826036654022237,4.858885692132029,309.4752424478531
42366557.40990952,0.003983764263298671,0.0003527946650265742,5.130704104520467,305.2825315594673
42420135.984739654,0.004424202776782618,0.00020353105058299164,5.411521289552909,301.84071877002714
42436031.094676174,0.004758954020463558,0.0005565821630701418,5.446477992128289,299.38415678739545
42448707.19237952,0.005257874708072138,0.0010260339224436527,5.4303853883173545,295.38228099346156
42430007.07368842,0.005071084851520565,0.0005058834237701015,5.345677857694427,292.68072063922875
42436515.52375129,0.005577253568540649,0.0008614618639487367,5.310850855229314,288.7073056459426
42447612.38197048,0.006099684532962317,0.0005509750665906379,5.303495784449396,285.1351383924483
42452795.96426733,0.006623504850849473,0.000287267082752636,5.273884197295117,281.3811720848082
42477972.13447992,0.006856409546634237,0.00021651716556779496,5.357938621738982,279.65384950637804
42482967.807879925,0.007315275286424725,0.00012022540268976571,5.332714628607678,275.95159819126116
42504061.910572805,0.007484089767812262,0.00043430214816556854,5.4014669974232845,273.6737596631049
42546400.91424827,0.008162076069961811,8.791432288950025e-05,5.494859754395133,269.80412029027923
42594747.75159738,0.008942924315673726,0.0005538351288060946,5.590716699265794,265.7912795662878
42615984.81616803,0.009388609447468853,8.140237730126967e-05,5.616184944099494,263.0134189248083
42634805.60609966,0.009698579546754812,4.524936033417892e-05,5.6489550346295605,261.8417133808134
42673025.37263982,0.010409230442713045,5.687477696048306e-05,5.701042459514301,259.82357350438815
42678576.18843122,0.010510582457755983,0.00028981353398400083,5.707677590177976,258.19442734569293
42677285.574164994,0.010765633141160911,0.000807768090135203,5.667144254906259,253.59637501090748
42669801.795879245,0.010635182297495356,0.001326557585703244,5.657381403475164,251.15227244943364
42691696.6554978,0.011220341355872552,0.0011617191949015136,5.66374036514752,248.48248482793554
42693382.77001636,0.011582694761359664,0.0008421888180854243,5.628770433392342,244.35714570134863
42684371.773651205,0.011715216777952866,0.00048806294140826313,5.589373870023666,240.60619336217627
42687143.208473675,0.012157003639460361,0.0009107928230738371,5.559019448662117,236.09660755246864
42680039.15868973,0.012390563441537895,0.0003956777331818188,5.523943660425222,231.7419792756437
42682958.38518981,0.012875373487835661,0.00045754177789400355,5.498456733182434,228.3710242345928
42684636.73764802,0.01332424433548024,0.0004564643211319088,5.476022802588072,225.39586578160512
42685153.4965053,0.013724940253398875,0.0005651545304091047,5.456962035557021,222.35337959080923
42690425.068693966,0.014138757157568465,0.0010807799644636652,5.449680769988631,218.44360399991263
42724513.595395595,0.014609942518232912,0.0009148345979595123,5.502640593972097,216.07307029515493
42774037.18035447,0.015447848116804707,0.0005041570950504346,5.562012792245705,212.25697031766165
42836692.863038614,0.01644800825882472,0.00016738763508152086,5.635177570139114,207.9413009479641
42877836.85620842,0.017269561684133697,0.0003996395539047798,5.669379020774914,204.36933869868508
42926257.9835342,0.018040690820256246,0.0008366681650350042,5.722755477857853,200.56530541926614
42985660.354265876,0.019089638136909202,0.0008415260102143846,5.775331746535291,197.65882529690853
42999266.66236725,0.019575500938431543,0.0013562609046090456,5.7669448649197035,193.20798654034726
43004002.28179707,0.01992778761385854,0.0018721605170132572,5.751154595719169,188.52118491604918
43011295.81086997,0.02035624510524137,0.002357292583184484,5.736471610309968,183.81728701069946
43018596.81080336,0.020798013474944116,0.0025917703394344304,5.7225012547840794,179.89018508866425
43025918.195549004,0.021252756197399202,0.002637736167834558,5.709236499881426,176.5471372194588
43037308.84292867,0.021766580365667504,0.002883803302035988,5.701097473613506,172.7956152386963
43050656.91649971,0.022309434969549607,0.002367232713617232,5.6956278043348565,168.314315290004
43063360.320296034,0.02284817784916222,0.002488384687519456,5.690051455273661,165.03949019387363
43057738.411011145,0.023006904237808483,0.003004487798549621,5.677507388144763,160.96014338210225
43064041.257989064,0.023477689438335936,0.00248852334456625,5.666956816141246,156.22951601222158
43071916.14413947,0.02399487473480018,0.0019728998721133344,5.6573757310953265,151.43577531054618
43080111.074238986,0.024527694951984088,0.0014579662123920564,5.648482049838937,146.63577531054617
43089251.71222175,0.025009573547031046,0.0009446369741164191,5.644821641339388,142.38218033984305
43103531.349856056,0.025619066644763117,0.00043816281636951406,5.642530403824738,137.88420122340324
43086949.426092476,0.025580184510514577,0.0001552903823551098,5.6292421977868825,134.21688221171502
43095969.20115976,0.02615467780741528,0.0003683759439809054,5.622361621629232,130.2349223800004
43105234.5574139,0.026740347619230068,0.0008717243417375311,5.616074179817088,125.4349223800004
43169119.40518123,0.027868342231341214,0.0013831075646869467,5.659112484321763,120.91631910279398
43213730.230391644,0.028573151254098837,0.001780488452214254,5.695204885177898,117.68320021107797
42233638.84301899,0.004061976282805816,0.000325992860520298,4.341873764955908,315.2
42278879.38905531,0.003805341836756589,0.0001402122457521371,4.604321054339749,311.18565354347226
42289073.263225265,0.004276449543597342,0.0003810651803695424,4.671312488811088,306.99045457839964
42288320.04838922,0.004923488308629155,0.0007368412159760352,4.674069562368677,302.69842059612273
42307301.07032957,0.005295499181083871,0.0009385684097617472,4.763794283583064,299.99029258489605
42305386.545873754,0.005754886313627745,0.0014597020132703837,4.75528671290337,296.00903385877604
42292273.46822562,0.006289526508484792,0.0012586332854198341,4.707196477059813,292.75445803403846
42293788.42467927,0.006914385310317304,0.0016085251469865234,4.718692853730702,288.63916372060766
42280076.466850415,0.007362698799183706,0.0010879081553124585,4.6813246949299465,284.8706254482268
42323793.24500316,0.007437191404633741,0.0012254582971328578,4.827833675651227,281.91019914150223
42377539.61961835,0.007523458240775804,0.0007053529669889217,5.004738651431442,277.2290565013884
42434780.13543312,0.00786791866316168,0.00026037549959185684,5.180175145782643,272.64338941574084
42462323.61758855,0.007768202569664648,0.00027902844639557964,5.286465448428544,269.26821291446674
42521246.70524173,0.008436156865865055,0.000792815967537908,5.439568840481005,264.46821291446673
42581130.64823184,0.009261390396303443,0.0008834128972136444,5.570154341454396,260.9867453575133
42583483.209868975,0.009675063713889981,0.0011635001095539738,5.53033982024999,256.9223456263541
42585670.24012116,0.01011204789813347,0.0012964265522276866,5.493915815899259,253.31240919828406
42577947.49388128,0.010347904674539322,0.0018157059165229109,5.450791669044922,248.9653380751609
42590766.45540904,0.010882316871384396,0.002311135834548725,5.4470051349357265,244.83586941957466
42595500.47598423,0.011383988800552214,0.0028302203999350122,5.425003938591815,240.18575314283365
42597463.002645634,0.011888508890648216,0.003349334250558616,5.3990553157864065,235.38575314283364
42602895.06533503,0.012421048717094867,0.0038682169487796836,5.383226715750219,230.78023294210428
42621391.07931106,0.012986021472011184,0.004386295517473249,5.39755955333202,227.01181542873377
42629432.340646245,0.013536941680358938,0.00490467720062675,5.388879493455018,222.53662495613094
42631618.55179483,0.014076813297025342,0.005423234203529136,5.370024019259359,217.73662495613092
42627986.90816286,0.014508745357310537,0.005179025160737426,5.3476454050288575,214.03093042373652
42636404.27953747,0.014714740087814133,0.005682380262312476,5.362327529670422,211.61987819671626
42693631.49503296,0.015479801333919517,0.006176472194690052,5.442663440655155,207.07313756942744
42748700.52324969,0.016303887659674856,0.006689923387575001,5.511330025703183,202.64311132431027
42736223.97171572,0.016432797211973386,0.006219320531856767,5.485332085175694,198.7127877473831
42750151.6201046,0.01700626455559471,0.00571633598623852,5.485820501644588,194.52999522686002
42768609.68697747,0.01731301732792345,0.005466445165640149,5.510651929264226,192.79096826314924
42816149.31331368,0.018132911660498314,0.004948324870598762,5.558748529082759,188.82553256750106
42810962.269449,0.01835792142360329,0.004757180283269884,5.541925275641209,185.6930836558342
42823854.55224745,0.018921353805825214,0.004243339531507085,5.539426199028249,181.33080607652664
42814618.197806574,0.018952055156084734,0.0037320847377739436,5.528698509411582,178.11974068880082
42822147.533577025,0.019490888724654702,0.00366368542835074,5.5195679875250185,174.82908152341844
42841245.43868749,0.02011785231660906,0.0031550620360056942,5.526142008402817,170.78355047702792
42831244.34111281,0.02029543871521412,0.002704920580099434,5.508521135235696,166.85492485761645
42850689.36945423,0.02092724696188327,0.0023093250544055453,5.5161779814992355,163.18949764966968
42863337.000565335,0.021523599170258166,0.002304865462926026,5.514855028120508,160.33585163354877
42895688.029286616,0.022264639974090727,0.0020135302898409055,5.5367601490299805,157.60446439981465
42938018.04849379,0.023012761025271604,0.0015446067114424547,5.572405932419097,154.0378066182137
42962047.84147861,0.023635267248238456,0.0011155213735969493,5.585175884355368,150.5161580562592
43006006.34633495,0.024498550455778773,0.0008007145332115112,5.6149135192504165,146.9764268994332
43054712.15946277,0.025355803553317492,0.0009914564278959636,5.650756992683757,143.71076613664633
43062875.294751056,0.02584770500681666,0.0007527908819687055,5.643702925912845,138.9785147786141
43066140.78794167,0.02623070938817644,0.000828150333558717,5.635964716848488,134.47254780530938
43068279.04171849,0.02659439568225469,0.0007543090331770543,5.628338186952724,130.9527855515481
43058921.64619728,0.02669583891231626,0.0010033123817028869,5.618257357170657,127.02084492445
43064649.576492324,0.02699148511871444,0.0008736054912303475,5.620176814163687,124.54954760074624
43075259.75434848,0.027568006612244792,0.0009021540576591669,5.615362383076137,121.19339123964318
43095484.12447917,0.028242538647317326,0.0012778960256464,5.619299175461687,116.89509912729271
43113087.06501456,0.028895067739733965,0.001352047583048224,5.6208621793688,113.75761507749566
43089610.06865165,0.02854670647674668,0.0011290488974533555,5.615260742541164,111.44812904596337
43117879.75206784,0.029308886770106537,0.0009557917248092008,5.625875494234432,108.40481729507455
43185833.819028035,0.030424655133470622,0.0007175499370723734,5.6706893361940285,103.8964584827424
42215709.54587246,0.0044635392403625015,0.0003260608860433982,4.2749313162184635,316.0152217626572
42253590.29528536,0.0038891968185749437,0.0008473853989811233,4.452506622663504,312.0846933245659
42310213.84891399,0.0036040117481089314,0.0008661674985206551,4.802071188861036,308.8253895044327
42363870.0183508,0.0037438345232275105,0.0005959293295737196,5.142808990116651,304.989226937294
42395026.07328728,0.004234027214762913,0.0004418042614384159,5.277471101818495,302.81184904277325
42428808.07646841,0.004407880373062907,0.0006628253444117684,5.469209821012396,300.12216483056545
42427767.50417127,0.004753873687909394,0.001183105785485286,5.387823007555005,295.6977170795202
42423310.98191702,0.005123014347336626,0.0006631581314878471,5.302162340007182,291.1420257657766
42423841.45952386,0.005639868537844284,0.00014715024577560036,5.243174819974224,286.3420257657766
42410601.51807207,0.00592299848420416,0.0003816555150872848,5.15729528380029,282.17537790238856
42415221.76346326,0.00648113072884545,0.0006174249440251402,5.137427799722165,278.502032777667
42444814.27415194,0.006961392340435085,0.001137144800367972,5.220483669526486,275.2519422024488
42443947.3197781,0.007500829913924374,0.001628161297087811,5.181635606277767,270.59383458793155
42444034.878594555,0.00807979477499867,0.002148488944851769,5.150921152273133,265.79383458793154
42443979.27235122,0.008673857856113562,0.0026688104685529223,5.1248949343158765,260.99383458793153
42463847.11893504,0.00902216390346784,0.003116251345199759,5.171568040888889,258.4239944547414
42491444.668711536,0.009559061731169818,0.002746399735167018,5.226392012242445,255.6222012013196
42549883.636441186,0.010168787045524085,0.003264017395494865,5.357803941709823,250.8222012013196
42592026.52144662,0.010660504792492543,0.003240721997525147,5.446412720605429,248.41338319480408
